10.97.8.89 | SUCCESS | rc=0 >>
    id     | sid  |  hid   | day | score | maxscore | lsn | fightn | winn | losen |         name          
     14194 | 3050 | 620139 |   7 |  5578 |     5578 |   0 |      0 |    3 |    19 | 兄弟齐心
    117171 | 6694 | 620139 |   7 |  5560 |     5560 |   0 |      0 |    3 |    17 | [s7002]UpsideDown
    323597 |    5 | 620139 |   7 |  5558 |     5558 |   4 |      0 |    4 |     0 | [s3549]Avengers
     15507 | 5219 | 620139 |   7 |  5555 |     5583 |   0 |      0 |    4 |     6 | [s5482]DemonS
    327209 | 2275 | 620139 |   7 |  5549 |     5549 |   3 |      0 |    4 |     3 | [s7066]Domination
   4855867 | 5867 | 620139 |   7 |  5543 |     5568 |   0 |      0 |    4 |    19 | 兄弟齐心
    572062 |  385 | 620139 |   7 |  5515 |     5515 |   0 |      0 |    3 |     7 | [s2029]Fenix
  77544201 | 3050 | 620139 |   7 |  5514 |     5548 |   0 |      0 |    2 |    31 | 兄弟齐心
 191602275 | 2275 | 620139 |   7 |  5510 |     5530 |   0 |      0 |    3 |    12 | 兄弟齐心
    395178 | 4551 | 620139 |   7 |  5493 |     5493 |   0 |      7 |    3 |     6 | [s5073]KushMan
    347093 | 6694 | 620139 |   7 |  5477 |     5485 |   0 |      0 |    2 |    14 | [s6942]BlackPumpKing
    501058 |    7 | 620139 |   7 |  5464 |     5464 |   1 |      0 |    3 |     9 | [s1061]Spetsnaz
 187680407 |  385 | 620139 |   7 |  5438 |     5438 |   0 |      0 |    2 |    10 | [s399]Destiny
     98150 | 2502 | 620139 |   7 |  5436 |     5436 |   1 |      0 |    3 |     5 | [s8014]DeadSilence
 120210788 |  631 | 620139 |   7 |  5427 |     5479 |   0 |      3 |    3 |    18 | 兄弟齐心
     33684 |    5 | 620139 |   7 |  5415 |     5433 |   0 |      0 |    3 |     2 | [s3614]TrinitySoul
    107743 | 2502 | 620139 |   7 |  5406 |     5424 |   0 |      0 |    2 |    11 | [s7617]RE4LG4LIFE
   3857201 | 2275 | 620139 |   7 |  5405 |     5419 |   0 |      0 |    3 |     2 | [s7220]SoullessKillas
    304019 | 3050 | 620139 |   7 |  5381 |     5399 |   0 |      6 |    3 |     5 | [s3985]NAZARICK
   4746694 | 6694 | 620139 |   7 |  5368 |     5463 |   0 |      0 |    3 |    21 | 兄弟齐心
   3615219 | 5219 | 620139 |   7 |  5350 |     5370 |   0 |      0 |    2 |    27 | 兄弟齐心
   4706694 | 6694 | 620139 |   7 |  5328 |     5400 |   0 |      0 |    2 |    12 | 兄弟齐心
    460726 |  631 | 620139 |   7 |  5325 |     5325 |   0 |      0 |    2 |     5 | [s705]FabulosoFive
    312284 | 2275 | 620139 |   7 |  5280 |     5290 |   0 |      9 |    1 |     8 | [s2436]Hotshots
     41828 |  631 | 620139 |   7 |  5280 |     5296 |   0 |      0 |    1 |    11 | [s1803]Legendary
     30381 |    7 | 620139 |   7 |  5269 |     5269 |   2 |      0 |    2 |     0 | [s373]Revelation
   1957979 |    4 | 620139 |   7 |  5265 |     5305 |   0 |      0 |    2 |     7 | [s7884]RISEN
    402533 | 2275 | 620139 |   7 |  5255 |     5305 |   0 |      6 |    2 |     4 | [s2510]RamasantA
 365172502 | 2502 | 620139 |   7 |  5250 |     5280 |   0 |      0 |    0 |    30 | 兄弟齐心
   5155867 | 5867 | 620139 |   7 |  5241 |     5241 |   0 |      0 |    1 |    10 | 兄弟齐心
   4656694 | 6694 | 620139 |   7 |  5236 |     5250 |   0 |      0 |    1 |     5 | 兄弟齐心
   3496921 | 6694 | 620139 |   7 |  5233 |     5277 |   0 |      7 |    2 |     4 | 兄弟齐心
  69554024 | 3050 | 620139 |   7 |  5230 |     5280 |   0 |      1 |    2 |     8 | 兄弟齐心
